Status,Taker,Name,Notes,Agency,DocType,Id
審核修正…,邱景昆,宏碁智慧園區開發計畫第二次變更案環境影響說明書第五次變更內容對照表,本書件為定稿本,環保署,變更內容對照表,1021324A
審核修正…,邱景昆,台七甲線思源至梨山段拓寬改善工程環境影響說明書變更內容對照表,本書件為定稿本,環保署,變更內容對照表,1021314A
審核修正…,陳彥男,西濱快速公路（台61線）員林大排至西濱大橋新建工程計畫環境影響差異分析報告,,環保署,差異分析報告,1021303A
不應開發…,張同婉,中臺灣精密科學園區南投基地設置計畫環境影響說明書,本書件為初稿本,環保署,說明書,1021291A
審查中,商維庭,萬大-中和-樹林地區捷運系統環境影響差異分析報告,本書件為修訂本,環保署,差異分析報告,1021283A
審核修正…,邱景昆,國泰醫療財團法人國泰綜合醫院研究大樓環境影響說明書負責人變更、污水處理設備及樓層用途隔間變更內容對照表,本書件為定稿本,環保署,變更內容對照表,1021264A
審核修正…,邱景昆,第二高速公路後續計畫(新營-屏東段)收費站重置工程變更內容對照表,本書件為定稿本,環保署,變更內容對照表,1021254A
審核修正…,邱景昆,第二高速公路後續計畫(新竹-南投段)收費站重置工程變更內容對照表,本書件為定稿本,環保署,變更內容對照表,1021244A
審查中,商維庭,高雄都會區大眾捷運系統紅、橘線基本路網第十六次變更計畫環境影響差異分析報告(北機廠及大寮機廠商業服務區開發),本書件為修訂本,環保署,差異分析報告,1021233A
審核修正…,商維庭,台9線南迴公路拓寬改善後續計畫第二次環境影響差異分析報告,,環保署,差異分析報告,1021223A
退件/撤銷,黃珮瑜,新竹縣芎林地區土石採取專區規劃計畫環境影響說明書,開發單位於102年12月10日經目的事業主管機關（經濟部）來函申請撤回本案，本署於102年12月18日函復同意撤回。,環保署,說明書,1021211A
其他,羅毓秀,六輕相關計畫台化公司化一部新設薄膜回收改善儲槽揮發性有機物(VOC)逸散案變更內容對照表,本書件為修訂本,環保署,變更內容對照表,1021204A
審查中,黃珮瑜,國立清華大學北校區建築更新計畫環境影響說明書,本書件為初稿本；補正期限：103年1月31日。,環保署,說明書,1021181A
審核修正…,陳彥男,坪頂淨水場擴建執行計畫第二次環境影響差異分析報告,本書件為確認本,環保署,差異分析報告,1021173A
審查中,劉馥萱,馬公第二海水淡化廠環境影響說明書,本書件為確認本,環保署,說明書,1021161A
退件/撤銷,張同婉,台灣化學纖維股份有限公司龍德廠PTA及IPA製程產能調整計畫環境影響說明書,開發單位於103年3月5日經目的事業主管機關（經濟部能源局、宜蘭縣政府）來函申請撤回本案，本署於103年3月10日函復同意撤回。,環保署,說明書,1021151A
應提因應…,陳彥男,和平工業專用港開發計畫環境影響調查報告書,,環保署,環境調查報告,1021147A
審核修正…,黃珮瑜,實踐大學高雄分部擴校案環境影響差異分析報告,,環保署,差異分析報告,1021133A
審核修正…,邱景昆,中美和台中廠興建計畫環境影響說明書變更內容對照表,本書件為定稿本,環保署,變更內容對照表,1021124A
審核修正…,邱景昆,樹德科技大學新校區校園基地開發環境影響說明書第四次變更內容對照表,本書件為定稿本,環保署,變更內容對照表,1021114A
其他,邱景昆,苗栗縣竹南鎮、通霄鎮、苑裡鎮設置風力發電廠興建計畫變更內容對照表,本書件為初稿本,環保署,變更內容對照表,1021104A
審查中,邱景昆,交通部民用航空局嘉義輔助站遷站環境影響說明書變更內容對照表暨變更審查結論,"不繼續實施,本書件為定稿本",環保署,變更內容對照表,1021094A
